{
	currentMonster:0,
	backgroundIndex:1,
	backgroundMoveTime:0,
	textColor:"0098000FF",
	extraTime:0.7,
	monstersInfo:
	[
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:one,size:[0.06,0.09],next:0.1,anim:0},
		{mode:[-1],id:1,time:0.8,backgroundName:zero,size:[0.06,0.09],next:0.1,anim:0},
